student_id,study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
145,9,71,Yes,76,Pass
146,13,98,Yes,52,Fail
147,3,94,Yes,43,Fail
148,2,48,Yes,95,Pass
149,8,80,Yes,80,Fail
150,8,74,No,67,Fail
151,15,58,Yes,93,Pass
152,9,87,No,67,Pass
153,6,55,Yes,79,Pass
154,4,42,No,59,Fail
155,13,59,Yes,80,Pass
156,9,63,Yes,92,Pass
157,7,93,Yes,81,Fail
158,12,95,No,67,Fail
159,4,72,Yes,59,Pass
160,2,63,No,80,Fail
161,4,91,Yes,34,Pass
162,6,50,Yes,58,Fail
163,15,88,No,33,Pass
164,4,47,Yes,39,Pass
165,2,75,Yes,85,Fail
166,6,77,Yes,46,Pass
167,11,79,Yes,46,Pass
168,8,59,No,63,Fail
169,15,74,Yes,35,Fail
170,8,87,Yes,82,Pass
171,12,64,Yes,95,Pass
172,10,74,No,72,Fail
173,11,64,Yes,52,Pass
174,11,68,Yes,84,Pass
175,13,57,No,45,Pass
176,14,85,No,37,Fail
177,4,57,Yes,33,Fail
178,8,41,Yes,33,Pass
179,2,93,Yes,85,Pass
180,5,74,Yes,54,Fail
181,14,55,Yes,56,Pass
182,5,80,Yes,61,Pass
183,15,75,Yes,79,Pass
184,6,72,Yes,90,Pass
185,8,43,No,80,Pass
186,8,72,No,48,Fail
187,14,53,Yes,50,Fail
188,12,60,No,34,Fail
189,14,87,No,71,Fail
190,5,59,Yes,90,Fail
191,14,95,Yes,51,Pass
192,8,47,Yes,50,Pass
193,12,46,Yes,30,Pass
194,4,42,No,34,Fail
195,7,56,Yes,41,Pass
196,13,72,Yes,75,Fail
197,3,87,No,63,Fail
198,11,51,No,78,Fail
199,14,98,Yes,74,Pass
200,15,90,No,56,Pass
